解读GPS
日期,时间,纬度,经度,海拔,地面速率,地面航向,卫星数
17年05月10日,01时37分11秒,40度47.7分,111度41.680分,1054m,016.0公里／小时,337.7度,10颗
17年05月10日,01时37分12秒,40度47.7分,111度41.678分,1054m,016.2公里／小时,338.3度,10颗
17年05月10日,01时37分13秒,40度47.7分,111度41.676分,1055m,017.8公里／小时,338.1度,10颗
17年05月10日,01时37分14秒,40度47.7分,111度41.673分,1055m,018.1公里／小时,338.6度,10颗
17年05月10日,01时37分15秒,40度47.7分,111度41.670分,1056m,019.6公里／小时,338.8度,09颗
17年05月10日,01时37分16秒,40度47.7分,111度41.668分,1056m,020.3公里／小时,338.1度,10颗
17年05月10日,01时37分17秒,40度47.7分,111度41.665分,1056m,020.1公里／小时,338.9度,09颗
17年05月10日,01时37分18秒,40度47.7分,111度41.663分,1056m,020.0公里／小时,340.1度,09颗
17年05月10日,01时37分19秒,40度47.7分,111度41.660分,1057m,020.8公里／小时,341.3度,09颗
17年05月10日,01时37分20秒,40度47.7分,111度41.658分,1057m,021.8公里／小时,342.9度,10颗
17年05月10日,01时37分21秒,40度47.7分,111度41.656分,1057m,022.9公里／小时,344.0度,10颗
17年05月10日,01时37分22秒,40度47.8分,111度41.653分,1058m,023.5公里／小时,343.0度,10颗
17年05月10日,01时37分23秒,40度47.8分,111度41.650分,1059m,023.8公里／小时,343.2度,10颗
17年05月10日,01时37分24秒,40度47.8分,111度41.648分,1059m,023.1公里／小时,343.9度,09颗
17年05月10日,01时37分25秒,40度47.8分,111度41.646分,1060m,020.1公里／小时,345.0度,10颗
17年05月10日,01时37分26秒,40度47.8分,111度41.645分,1060m,015.3公里／小时,346.2度,09颗
17年05月10日,01时37分27秒,40度47.8分,111度41.644分,1060m,012.5公里／小时,346.7度,10颗
17年05月10日,01时37分28秒,40度47.8分,111度41.642分,1060m,010.5公里／小时,345.8度,10颗
17年05月10日,01时37分29秒,40度47.8分,111度41.641分,1060m,008.3公里／小时,344.2度,10颗
17年05月10日,01时37分30秒,40度47.8分,111度41.640分,1060m,006.9公里／小时,342.0度,10颗
17年05月10日,01时37分31秒,40度47.8分,111度41.639分,1061m,006.6公里／小时,339.9度,09颗
17年05月10日,01时37分32秒,40度47.8分,111度41.638分,1061m,008.6公里／小时,337.9度,10颗
17年05月10日,01时37分33秒,40度47.8分,111度41.637分,1061m,011.8公里／小时,337.2度,09颗
17年05月10日,01时37分34秒,40度47.8分,111度41.635分,1061m,014.5公里／小时,337.4度,10颗
17年05月10日,01时37分35秒,40度47.8分,111度41.633分,1061m,015.4公里／小时,338.2度,09颗
17年05月10日,01时37分36秒,40度47.8分,111度41.630分,1061m,017.5公里／小时,339.2度,09颗
17年05月10日,01时37分37秒,40度47.8分,111度41.628分,1061m,018.4公里／小时,339.8度,09颗
17年05月10日,01时37分38秒,40度47.8分,111度41.626分,1061m,018.4公里／小时,340.5度,09颗
17年05月10日,01时37分39秒,40度47.8分,111度41.623分,1061m,019.0公里／小时,341.4度,09颗
17年05月10日,01时37分40秒,40度47.8分,111度41.621分,1062m,018.7公里／小时,342.5度,09颗
17年05月10日,01时37分41秒,40度47.8分,111度41.619分,1062m,018.7公里／小时,343.4度,09颗
17年05月10日,01时37分42秒,40度47.8分,111度41.617分,1062m,019.3公里／小时,343.7度,10颗
17年05月10日,01时37分43秒,40度47.8分,111度41.615分,1062m,019.8公里／小时,343.1度,10颗
17年05月10日,01时37分44秒,40度47.8分,111度41.612分,1062m,019.5公里／小时,341.8度,10颗
17年05月10日,01时37分45秒,40度47.8分,111度41.610分,1062m,019.0公里／小时,340.4度,09颗
17年05月10日,01时37分46秒,40度47.9分,111度41.607分,1062m,018.7公里／小时,339.8度,10颗
17年05月10日,01时37分47秒,40度47.9分,111度41.605分,1062m,019.0公里／小时,339.3度,10颗
17年05月10日,01时37分48秒,40度47.9分,111度41.603分,1062m,017.5公里／小时,339.9度,10颗
17年05月10日,01时37分49秒,40度47.9分,111度41.601分,1062m,016.6公里／小时,340.6度,10颗
17年05月10日,01时37分50秒,40度47.9分,111度41.599分,1063m,015.5公里／小时,340.9度,10颗
17年05月10日,01时37分51秒,40度47.9分,111度41.597分,1063m,014.4公里／小时,340.9度,10颗
17年05月10日,01时37分52秒,40度47.9分,111度41.594分,1064m,013.3公里／小时,340.4度,09颗
17年05月10日,01时37分53秒,40度47.9分,111度41.593分,1064m,012.3公里／小时,339.6度,09颗
17年05月10日,01时37分54秒,40度47.9分,111度41.591分,1064m,011.1公里／小时,339.0度,09颗
17年05月10日,01时37分55秒,40度47.9分,111度41.590分,1064m,009.8公里／小时,338.7度,09颗
17年05月10日,01时37分56秒,40度47.9分,111度41.589分,1063m,009.5公里／小时,338.4度,09颗
17年05月10日,01时37分57秒,40度47.9分,111度41.587分,1063m,010.2公里／小时,344.7度,09颗
17年05月10日,01时37分58秒,40度47.9分,111度41.587分,1063m,010.0公里／小时,344.9度,10颗
17年05月10日,01时37分59秒,40度47.9分,111度41.586分,1063m,008.6公里／小时,347.4度,10颗
17年05月10日,01时38分00秒,40度47.9分,111度41.586分,1062m,007.9公里／小时,354.1度,10颗
17年05月10日,01时38分01秒,40度47.9分,111度41.585分,1062m,008.6公里／小时,353.3度,10颗
17年05月10日,01时38分02秒,40度47.9分,111度41.584分,1062m,009.3公里／小时,352.4度,10颗
17年05月10日,01时38分03秒,40度47.9分,111度41.583分,1062m,008.0公里／小时,351.4度,10颗
17年05月10日,01时38分04秒,40度47.9分,111度41.582分,1062m,006.9公里／小时,350.5度,10颗
17年05月10日,01时38分05秒,40度47.9分,111度41.582分,1062m,004.5公里／小时,349.3度,10颗
17年05月10日,01时38分06秒,40度47.9分,111度41.581分,1062m,003.2公里／小时,345.4度,10颗
17年05月10日,01时38分07秒,40度47.9分,111度41.582分,1063m,002.2公里／小时,345.4度,10颗
17年05月10日,01时38分08秒,40度47.9分,111度41.581分,1063m,000.1公里／小时,345.4度,10颗
17年05月10日,01时38分09秒,40度47.9分,111度41.581分,1063m,000.0公里／小时,345.4度,10颗
17年05月10日,01时38分10秒,40度47.9分,111度41.580分,1064m,000.0公里／小时,345.4度,10颗
17年05月10日,01时38分11秒,40度47.9分,111度41.580分,1064m,000.0公里／小时,345.4度,10颗
17年05月10日,01时38分12秒,40度47.9分,111度41.580分,1064m,000.0公里／小时,345.4度,09颗
17年05月10日,01时38分13秒,40度47.9分,111度41.580分,1064m,000.0公里／小时,345.4度,09颗
17年05月10日,01时38分14秒,40度47.9分,111度41.580分,1064m,000.0公里／小时,345.4度,09颗
17年05月10日,01时38分15秒,40度47.9分,111度41.580分,1064m,000.0公里／小时,345.4度,09颗
17年05月10日,01时38分16秒,40度47.9分,111度41.580分,1064m,000.0公里／小时,345.4度,09颗
17年05月10日,01时38分17秒,40度47.9分,111度41.580分,1064m,000.0公里／小时,345.4度,09颗
17年05月10日,01时38分18秒,40度47.9分,111度41.580分,1064m,000.0公里／小时,345.4度,09颗
17年05月10日,01时38分19秒,40度47.9分,111度41.580分,1064m,001.6公里／小时,345.4度,09颗
17年05月10日,01时38分20秒,40度47.9分,111度41.579分,1064m,002.5公里／小时,345.4度,09颗
17年05月10日,01时38分21秒,40度47.9分,111度41.579分,1064m,002.9公里／小时,337.4度,10颗
17年05月10日,01时38分22秒,40度47.9分,111度41.579分,1064m,002.2公里／小时,340.6度,10颗
17年05月10日,01时38分23秒,40度47.9分,111度41.578分,1064m,000.8公里／小时,341.4度,10颗
17年05月10日,01时38分24秒,40度47.9分,111度41.578分,1064m,000.0公里／小时,341.4度,10颗
17年05月10日,01时38分25秒,40度47.9分,111度41.578分,1064m,000.0公里／小时,341.4度,10颗
17年05月10日,01时38分26秒,40度47.9分,111度41.578分,1064m,000.0公里／小时,341.4度,10颗
17年05月10日,01时38分27秒,40度47.9分,111度41.578分,1064m,000.0公里／小时,341.4度,10颗
17年05月10日,01时38分28秒,40度47.9分,111度41.578分,1064m,000.0公里／小时,341.4度,10颗
17年05月10日,01时38分29秒,40度47.9分,111度41.578分,1064m,000.0公里／小时,341.4度,10颗
17年05月10日,01时38分30秒,40度47.9分,111度41.578分,1064m,000.0公里／小时,341.4度,10颗
17年05月10日,01时38分31秒,40度47.9分,111度41.578分,1064m,000.0公里／小时,341.4度,10颗
17年05月10日,01时38分32秒,40度47.9分,111度41.578分,1064m,000.0公里／小时,341.4度,10颗
17年05月10日,01时38分33秒,40度47.9分,111度41.578分,1064m,000.0公里／小时,341.4度,10颗
17年05月10日,01时38分34秒,40度47.9分,111度41.578分,1064m,000.0公里／小时,341.4度,10颗
17年05月10日,01时38分35秒,40度47.9分,111度41.578分,1064m,000.0公里／小时,341.4度,10颗
17年05月10日,01时38分36秒,40度47.9分,111度41.578分,1064m,000.0公里／小时,341.4度,10颗
17年05月10日,01时38分37秒,40度47.9分,111度41.578分,1064m,001.2公里／小时,335.6度,10颗
17年05月10日,01时38分38秒,40度47.9分,111度41.578分,1064m,001.6公里／小时,338.4度,10颗
17年05月10日,01时38分39秒,40度47.9分,111度41.578分,1064m,001.4公里／小时,345.1度,10颗
17年05月10日,01时38分40秒,40度47.9分,111度41.577分,1064m,001.5公里／小时,344.4度,10颗
17年05月10日,01时38分41秒,40度47.9分,111度41.577分,1064m,001.7公里／小时,343.8度,10颗
17年05月10日,01时38分42秒,40度47.9分,111度41.577分,1064m,001.5公里／小时,346.0度,09颗
17年05月10日,01时38分43秒,40度47.9分,111度41.577分,1064m,001.0公里／小时,348.3度,09颗
17年05月10日,01时38分44秒,40度47.9分,111度41.577分,1064m,000.7公里／小时,356.5度,09颗
17年05月10日,01时38分45秒,40度47.9分,111度41.577分,1064m,000.4公里／小时,356.5度,10颗
17年05月10日,01时38分46秒,40度47.9分,111度41.577分,1063m,000.4公里／小时,356.5度,09颗
17年05月10日,01时38分47秒,40度47.9分,111度41.577分,1063m,000.5公里／小时,351.0度,09颗
17年05月10日,01时38分48秒,40度47.9分,111度41.577分,1063m,000.7公里／小时,338.0度,09颗
17年05月10日,01时38分49秒,40度47.9分,111度41.577分,1063m,001.0公里／小时,334.6度,09颗
17年05月10日,01时38分50秒,40度47.9分,111度41.577分,1063m,000.6公里／小时,351.2度,10颗
17年05月10日,01时38分51秒,40度47.9分,111度41.577分,1063m,000.0公里／小时,351.2度,08颗
17年05月10日,01时38分52秒,40度47.9分,111度41.577分,1063m,000.0公里／小时,351.2度,09颗
17年05月10日,01时38分53秒,40度47.9分,111度41.577分,1063m,000.0公里／小时,351.2度,09颗
17年05月10日,01时38分54秒,40度47.9分,111度41.577分,1063m,000.0公里／小时,351.2度,09颗
17年05月10日,01时38分55秒,40度47.9分,111度41.577分,1063m,000.0公里／小时,351.2度,09颗
17年05月10日,01时38分56秒,40度47.9分,111度41.577分,1063m,000.0公里／小时,351.2度,09颗
17年05月10日,01时38分57秒,40度47.9分,111度41.577分,1063m,000.0公里／小时,351.2度,09颗
17年05月10日,01时38分58秒,40度47.9分,111度41.577分,1063m,000.0公里／小时,351.2度,09颗
17年05月10日,01时38分59秒,40度47.9分,111度41.577分,1063m,000.0公里／小时,351.2度,10颗
17年05月10日,01时39分00秒,40度47.9分,111度41.577分,1063m,000.0公里／小时,351.2度,10颗
17年05月10日,01时39分01秒,40度47.9分,111度41.577分,1063m,000.0公里／小时,351.2度,10颗
17年05月10日,01时39分02秒,40度47.9分,111度41.577分,1063m,000.0公里／小时,351.2度,10颗
17年05月10日,01时39分03秒,40度47.9分,111度41.577分,1063m,000.0公里／小时,351.2度,10颗
17年05月10日,01时39分04秒,40度47.9分,111度41.577分,1063m,000.0公里／小时,351.2度,10颗
17年05月10日,01时39分05秒,40度47.9分,111度41.577分,1063m,000.0公里／小时,351.2度,10颗
17年05月10日,01时39分06秒,40度47.9分,111度41.577分,1063m,000.0公里／小时,351.2度,09颗
17年05月10日,01时39分07秒,40度47.9分,111度41.577分,1063m,000.0公里／小时,351.2度,09颗
17年05月10日,01时39分08秒,40度47.9分,111度41.577分,1063m,000.0公里／小时,351.2度,10颗
17年05月10日,01时39分09秒,40度47.9分,111度41.577分,1063m,000.0公里／小时,351.2度,10颗
17年05月10日,01时39分10秒,40度47.9分,111度41.577分,1063m,000.0公里／小时,351.2度,10颗
17年05月10日,01时39分11秒,40度47.9分,111度41.577分,1063m,000.0公里／小时,351.2度,10颗
17年05月10日,01时39分12秒,40度47.9分,111度41.577分,1063m,000.0公里／小时,351.2度,10颗
17年05月10日,01时39分13秒,40度47.9分,111度41.576分,1063m,002.5公里／小时,323.8度,10颗
17年05月10日,01时39分14秒,40度47.9分,111度41.575分,1063m,006.0公里／小时,324.5度,10颗
17年05月10日,01时39分15秒,40度47.9分,111度41.574分,1063m,008.0公里／小时,325.9度,09颗
17年05月10日,01时39分16秒,40度47.9分,111度41.573分,1063m,009.2公里／小时,326.8度,10颗
17年05月10日,01时39分17秒,40度47.9分,111度41.572分,1063m,011.8公里／小时,328.2度,10颗
17年05月10日,01时39分18秒,40度47.9分,111度41.570分,1063m,012.3公里／小时,329.7度,10颗
17年05月10日,01时39分19秒,40度47.9分,111度41.569分,1063m,011.1公里／小时,331.0度,10颗
17年05月10日,01时39分20秒,40度47.9分,111度41.567分,1063m,010.6公里／小时,332.2度,10颗
17年05月10日,01时39分21秒,40度47.9分,111度41.566分,1063m,008.9公里／小时,333.4度,10颗
17年05月10日,01时39分22秒,40度48.0分,111度41.565分,1064m,006.9公里／小时,334.3度,10颗
17年05月10日,01时39分23秒,40度48.0分,111度41.564分,1064m,007.8公里／小时,335.2度,10颗
17年05月10日,01时39分24秒,40度48.0分,111度41.562分,1065m,009.1公里／小时,336.0度,10颗
17年05月10日,01时39分25秒,40度48.0分,111度41.560分,1066m,009.9公里／小时,336.9度,10颗
17年05月10日,01时39分26秒,40度48.0分,111度41.559分,1066m,010.3公里／小时,337.6度,10颗
17年05月10日,01时39分27秒,40度48.0分,111度41.557分,1067m,012.2公里／小时,339.7度,10颗
17年05月10日,01时39分28秒,40度48.0分,111度41.555分,1067m,013.7公里／小时,340.9度,10颗
17年05月10日,01时39分29秒,40度48.0分,111度41.554分,1068m,014.5公里／小时,341.7度,10颗
17年05月10日,01时39分30秒,40度48.0分,111度41.552分,1069m,014.6公里／小时,342.2度,10颗
17年05月10日,01时39分31秒,40度48.0分,111度41.550分,1069m,014.1公里／小时,342.3度,10颗
17年05月10日,01时39分31秒,40度48.0分,111度41.550分,1069m,014.1公里／小时,342.3度,10颗
17年05月10日,01时39分32秒,40度48.0分,111度41.549分,1069m,012.4公里／小时,341.9度,10颗
17年05月10日,01时39分33秒,40度48.0分,111度41.547分,1069m,009.5公里／小时,341.9度,10颗
17年05月10日,01时39分34秒,40度48.0分,111度41.546分,1069m,007.8公里／小时,341.7度,10颗
17年05月10日,01时39分35秒,40度48.0分,111度41.545分,1068m,008.7公里／小时,342.2度,09颗
17年05月10日,01时39分36秒,40度48.0分,111度41.544分,1069m,010.5公里／小时,342.2度,10颗
17年05月10日,01时39分37秒,40度48.0分,111度41.543分,1069m,010.9公里／小时,341.7度,09颗
17年05月10日,01时39分38秒,40度48.0分,111度41.541分,1068m,011.2公里／小时,340.9度,09颗
17年05月10日,01时39分39秒,40度48.0分,111度41.540分,1068m,012.1公里／小时,339.6度,09颗
17年05月10日,01时39分40秒,40度48.0分,111度41.538分,1067m,014.5公里／小时,338.2度,09颗
17年05月10日,01时39分41秒,40度48.0分,111度41.535分,1067m,016.8公里／小时,337.5度,08颗
17年05月10日,01时39分42秒,40度48.0分,111度41.533分,1067m,017.4公里／小时,338.0度,09颗
17年05月10日,01时39分44秒,40度48.0分,111度41.529分,1067m,015.4公里／小时,339.2度,09颗
17年05月10日,01时39分45秒,40度48.0分,111度41.527分,1067m,016.1公里／小时,341.1度,09颗
17年05月10日,01时39分46秒,40度48.0分,111度41.526分,1068m,017.1公里／小时,343.0度,09颗
17年05月10日,01时39分46秒,40度48.0分,111度41.526分,1068m,017.1公里／小时,343.0度,09颗
17年05月10日,01时39分48秒,40度48.0分,111度41.523分,1068m,019.9公里／小时,345.9度,08颗
17年05月10日,01时39分48秒,40度48.0分,111度41.523分,1069m,019.9公里／小时,345.9度,08颗
17年05月10日,01时39分50秒,40度48.1分,111度41.519分,1069m,020.2公里／小时,346.0度,08颗
17年05月10日,01时39分50秒,40度48.1分,111度41.519分,1070m,020.2公里／小时,346.0度,09颗
17年05月10日,01时39分51秒,40度48.1分,111度41.516分,1070m,020.4公里／小时,345.7度,09颗
17年05月10日,01时39分52秒,40度48.1分,111度41.513分,1070m,021.3公里／小时,345.4度,09颗
17年05月10日,01时39分53秒,40度48.1分,111度41.510分,1070m,021.4公里／小时,344.6度,09颗
17年05月10日,01时39分55秒,40度48.1分,111度41.505分,1070m,021.7公里／小时,342.0度,09颗
17年05月10日,01时39分55秒,40度48.1分,111度41.505分,1069m,021.7公里／小时,342.0度,09颗
17年05月10日,01时39分56秒,40度48.1分,111度41.502分,1069m,022.6公里／小时,341.1度,09颗
17年05月10日,01时39分57秒,40度48.1分,111度41.499分,1070m,021.6公里／小时,340.5度,10颗
17年05月10日,01时39分58秒,40度48.1分,111度41.496分,1070m,020.0公里／小时,340.5度,10颗
17年05月10日,01时39分59秒,40度48.1分,111度41.494分,1070m,019.0公里／小时,341.6度,10颗
17年05月10日,01时40分00秒,40度48.1分,111度41.492分,1070m,018.7公里／小时,343.0度,10颗
17年05月10日,01时40分02秒,40度48.1分,111度41.488分,1070m,018.6公里／小时,343.7度,10颗
17年05月10日,01时40分02秒,40度48.1分,111度41.488分,1069m,018.6公里／小时,343.7度,10颗
17年05月10日,01时40分04秒,40度48.1分,111度41.483分,1069m,018.9公里／小时,341.3度,10颗
17年05月10日,01时40分04秒,40度48.1分,111度41.483分,1070m,018.9公里／小时,341.3度,10颗
17年05月10日,01时40分05秒,40度48.1分,111度41.481分,1069m,018.9公里／小时,340.1度,10颗
17年05月10日,01时40分06秒,40度48.1分,111度41.478分,1069m,018.3公里／小时,340.0度,10颗
17年05月10日,01时40分07秒,40度48.1分,111度41.476分,1069m,018.3公里／小时,340.2度,10颗
17年05月10日,01时40分08秒,40度48.1分,111度41.473分,1069m,017.9公里／小时,340.5度,10颗
17年05月10日,01时40分09秒,40度48.2分,111度41.471分,1070m,017.9公里／小时,341.2度,10颗
17年05月10日,01时40分10秒,40度48.2分,111度41.469分,1070m,017.7公里／小时,341.3度,10颗
17年05月10日,01时40分11秒,40度48.2分,111度41.466分,1070m,017.4公里／小时,341.1度,10颗
17年05月10日,01时40分12秒,40度48.2分,111度41.464分,1070m,016.8公里／小时,341.3度,10颗
17年05月10日,01时40分13秒,40度48.2分,111度41.462分,1070m,016.8公里／小时,342.1度,10颗
17年05月10日,01时40分14秒,40度48.2分,111度41.460分,1070m,017.2公里／小时,342.3度,10颗
17年05月10日,01时40分16秒,40度48.2分,111度41.455分,1071m,019.9公里／小时,340.2度,10颗
17年05月10日,01时40分16秒,40度48.2分,111度41.455分,1070m,019.9公里／小时,340.2度,10颗
17年05月10日,01时40分17秒,40度48.2分,111度41.452分,1071m,020.1公里／小时,339.4度,10颗
17年05月10日,01时40分19秒,40度48.2分,111度41.447分,1071m,018.3公里／小时,339.5度,10颗
17年05月10日,01时40分19秒,40度48.2分,111度41.447分,1071m,018.3公里／小时,339.5度,10颗
17年05月10日,01时40分20秒,40度48.2分,111度41.445分,1071m,016.4公里／小时,340.6度,10颗
17年05月10日,01时40分22秒,40度48.2分,111度41.441分,1071m,013.2公里／小时,340.4度,10颗
17年05月10日,01时40分22秒,40度48.2分,111度41.441分,1071m,013.2公里／小时,340.4度,10颗
17年05月10日,01时40分23秒,40度48.2分,111度41.439分,1071m,011.1公里／小时,339.8度,10颗
17年05月10日,01时40分24秒,40度48.2分,111度41.438分,1071m,009.0公里／小时,339.6度,10颗
17年05月10日,01时40分25秒,40度48.2分,111度41.438分,1071m,005.6公里／小时,340.3度,10颗
17年05月10日,01时40分26秒,40度48.2分,111度41.438分,1070m,002.9公里／小时,340.6度,10颗
17年05月10日,01时40分28秒,40度48.2分,111度41.438分,1070m,000.1公里／小时,340.9度,10颗
17年05月10日,01时40分29秒,40度48.2分,111度41.438分,1070m,000.1公里／小时,340.9度,10颗
17年05月10日,01时40分29秒,40度48.2分,111度41.438分,1070m,000.1公里／小时,340.9度,10颗
17年05月10日,01时40分30秒,40度48.2分,111度41.438分,1070m,000.0公里／小时,340.9度,10颗
17年05月10日,01时40分31秒,40度48.2分,111度41.437分,1070m,000.0公里／小时,340.9度,10颗
17年05月10日,01时40分32秒,40度48.2分,111度41.437分,1070m,000.0公里／小时,340.9度,10颗
17年05月10日,01时40分34秒,40度48.2分,111度41.437分,1070m,000.0公里／小时,340.9度,10颗
17年05月10日,01时40分34秒,40度48.2分,111度41.437分,1070m,000.0公里／小时,340.9度,10颗
17年05月10日,01时40分35秒,40度48.2分,111度41.437分,1070m,000.0公里／小时,340.9度,10颗
17年05月10日,01时40分36秒,40度48.2分,111度41.437分,1070m,000.0公里／小时,340.9度,10颗
17年05月10日,01时40分37秒,40度48.2分,111度41.436分,1070m,000.0公里／小时,340.9度,10颗
17年05月10日,01时40分38秒,40度48.2分,111度41.436分,1070m,000.0公里／小时,340.9度,10颗
17年05月10日,01时40分39秒,40度48.2分,111度41.436分,1070m,000.0公里／小时,340.9度,10颗
17年05月10日,01时40分40秒,40度48.2分,111度41.436分,1070m,000.0公里／小时,340.9度,10颗
17年05月10日,01时40分41秒,40度48.2分,111度41.436分,1070m,002.6公里／小时,340.9度,10颗
17年05月10日,01时40分42秒,40度48.2分,111度41.435分,1070m,003.8公里／小时,239.1度,10颗
17年05月10日,01时40分43秒,40度48.2分,111度41.434分,1069m,004.6公里／小时,203.6度,10颗
17年05月10日,01时40分44秒,40度48.2分,111度41.433分,1069m,005.5公里／小时,178.3度,10颗
17年05月10日,01时40分45秒,40度48.2分,111度41.434分,1068m,008.5公里／小时,156.6度,10颗
17年05月10日,01时40分46秒,40度48.2分,111度41.436分,1068m,009.6公里／小时,153.1度,10颗
17年05月10日,01时40分47秒,40度48.2分,111度41.437分,1067m,010.5公里／小时,155.3度,10颗
17年05月10日,01时40分48秒,40度48.2分,111度41.439分,1066m,011.4公里／小时,156.6度,10颗
17年05月10日,01时40分49秒,40度48.2分,111度41.440分,1065m,012.1公里／小时,158.3度,10颗
17年05月10日,01时40分50秒,40度48.2分,111度41.442分,1065m,013.0公里／小时,160.0度,09颗
17年05月10日,01时40分51秒,40度48.2分,111度41.444分,1064m,013.4公里／小时,160.3度,09颗
17年05月10日,01时40分52秒,40度48.2分,111度41.445分,1064m,013.7公里／小时,161.5度,09颗
17年05月10日,01时40分53秒,40度48.2分,111度41.447分,1063m,014.0公里／小时,162.6度,10颗
17年05月10日,01时40分54秒,40度48.2分,111度41.448分,1062m,014.2公里／小时,163.2度,09颗
17年05月10日,01时40分55秒,40度48.2分,111度41.450分,1062m,014.2公里／小时,163.4度,09颗
17年05月10日,01时40分56秒,40度48.2分,111度41.451分,1061m,013.4公里／小时,163.6度,09颗
17年05月10日,01时40分57秒,40度48.2分,111度41.452分,1060m,012.4公里／小时,164.2度,10颗
17年05月10日,01时40分58秒,40度48.2分,111度41.453分,1060m,011.3公里／小时,164.5度,10颗
17年05月10日,01时40分59秒,40度48.2分,111度41.454分,1059m,008.8公里／小时,165.1度,10颗
17年05月10日,01时41分00秒,40度48.2分,111度41.454分,1058m,006.4公里／小时,166.8度,10颗
17年05月10日,01时41分01秒,40度48.2分,111度41.454分,1058m,004.5公里／小时,175.7度,10颗
17年05月10日,01时41分02秒,40度48.2分,111度41.454分,1058m,003.6公里／小时,186.3度,10颗
17年05月10日,01时41分03秒,40度48.2分,111度41.454分,1057m,003.1公里／小时,201.9度,10颗
17年05月10日,01时41分04秒,40度48.2分,111度41.453分,1057m,003.4公里／小时,220.2度,10颗
17年05月10日,01时41分05秒,40度48.2分,111度41.452分,1056m,003.0公里／小时,219.9度,10颗
17年05月10日,01时41分06秒,40度48.2分,111度41.451分,1056m,003.5公里／小时,221.4度,10颗
17年05月10日,01时41分07秒,40度48.2分,111度41.450分,1055m,004.1公里／小时,224.2度,10颗
17年05月10日,01时41分08秒,40度48.2分,111度41.449分,1055m,004.4公里／小时,226.4度,10颗
17年05月10日,01时41分09秒,40度48.2分,111度41.447分,1055m,004.6公里／小时,228.9度,10颗
17年05月10日,01时41分10秒,40度48.2分,111度41.445分,1054m,004.3公里／小时,256.4度,10颗
17年05月10日,01时41分11秒,40度48.2分,111度41.444分,1054m,004.2公里／小时,255.0度,10颗
17年05月10日,01时41分12秒,40度48.2分,111度41.442分,1054m,003.0公里／小时,254.4度,10颗
17年05月10日,01时41分13秒,40度48.2分,111度41.442分,1053m,000.1公里／小时,254.4度,10颗
17年05月10日,01时41分15秒,40度48.2分,111度41.441分,1054m,000.0公里／小时,254.4度,10颗
17年05月10日,01时41分15秒,40度48.2分,111度41.441分,1054m,000.0公里／小时,254.4度,10颗
17年05月10日,01时41分16秒,40度48.2分,111度41.441分,1054m,000.0公里／小时,254.3度,10颗
17年05月10日,01时41分17秒,40度48.2分,111度41.441分,1054m,000.0公里／小时,254.4度,10颗
17年05月10日,01时41分18秒,40度48.2分,111度41.441分,1054m,000.0公里／小时,254.4度,10颗
17年05月10日,01时41分19秒,40度48.2分,111度41.441分,1054m,000.1公里／小时,254.4度,10颗
17年05月10日,01时41分20秒,40度48.2分,111度41.440分,1054m,000.3公里／小时,254.4度,10颗
17年05月10日,01时41分21秒,40度48.2分,111度41.438分,1054m,008.0公里／小时,281.9度,10颗
17年05月10日,01时41分23秒,40度48.2分,111度41.430分,1053m,010.6公里／小时,281.8度,10颗
17年05月10日,01时41分24秒,40度48.2分,111度41.425分,1053m,010.3公里／小时,271.1度,09颗
17年05月10日,01时41分24秒,40度48.2分,111度41.425分,1053m,010.3公里／小时,271.1度,10颗
17年05月10日,01时41分25秒,40度48.2分,111度41.421分,1053m,010.3公里／小时,256.0度,10颗
17年05月10日,01时41分26秒,40度48.2分,111度41.417分,1053m,009.7公里／小时,243.6度,10颗
17年05月10日,01时41分27秒,40度48.2分,111度41.414分,1052m,008.9公里／小时,232.4度,10颗
17年05月10日,01时41分28秒,40度48.2分,111度41.412分,1052m,007.5公里／小时,222.3度,10颗
17年05月10日,01时41分29秒,40度48.2分,111度41.410分,1052m,006.7公里／小时,210.5度,10颗
17年05月10日,01时41分30秒,40度48.2分,111度41.409分,1053m,006.3公里／小时,196.5度,10颗
17年05月10日,01时41分31秒,40度48.2分,111度41.408分,1053m,005.6公里／小时,176.7度,10颗
17年05月10日,01时41分32秒,40度48.2分,111度41.409分,1052m,006.2公里／小时,170.5度,10颗
17年05月10日,01时41分33秒,40度48.1分,111度41.409分,1052m,007.8公里／小时,168.3度,10颗
17年05月10日,01时41分34秒,40度48.1分,111度41.410分,1052m,009.1公里／小时,168.0度,10颗
17年05月10日,01时41分35秒,40度48.1分,111度41.411分,1051m,010.5公里／小时,167.2度,10颗
17年05月10日,01时41分36秒,40度48.1分,111度41.412分,1051m,010.8公里／小时,164.9度,10颗
17年05月10日,01时41分37秒,40度48.1分,111度41.413分,1051m,010.6公里／小时,162.1度,10颗
17年05月10日,01时41分38秒,40度48.1分,111度41.414分,1051m,010.5公里／小时,163.2度,10颗
17年05月10日,01时41分40秒,40度48.1分,111度41.417分,1051m,011.8公里／小时,161.8度,10颗
17年05月10日,01时41分40秒,40度48.1分,111度41.417分,1050m,011.8公里／小时,161.8度,10颗
17年05月10日,01时41分41秒,40度48.1分,111度41.418分,1050m,012.0公里／小时,160.1度,10颗
17年05月10日,01时41分42秒,40度48.1分,111度41.420分,1049m,012.6公里／小时,158.8度,10颗
